Name,team,event1,event2,event3,event4
James,Purple,Dynamic Planet,Materials Science,Rocks and Minerals,
Sarah,Purple,Electric Vehicle,Forensics,Chemistry Lab,Water Quality
Michael,Purple,Experiemental Design,Electric Vehicle,Anatomy and Physiology,Disease Detectives
Emily,Purple,Bungee Drop,Codebusters,Remote Sensing,
David,Purple,Experiemental Design,Astronomy,Rocks and Minerals,Robot Tour
Jessica,Purple,Machines,Circuit Lab,Robot Tour,Boomilever
Tyler,Purple,Machines,Circuit Lab,Hovercraft,Boomilever
Robert,Purple,Dynamic Planet,Water Quality,Codebusters,Disease Detectives
Amanda,Purple,Designer Genes,Hovercraft,Codebusters,Astronomy
Janet,Purple,Bungee Drop,Remote Sensing,Entomology,
Allen,Purple,Helicopter,Entomology,Engineering CAD,
Alicia,Purple,Anatomy and Physiology,Designer Genes,Materials Science,
Preston,Purple,Helicopter,Engineering CAD,,
Daniel,Purple,Chemistry Lab,Experimental Design,Forensics,
Kaylie,White,Forensics,Rocks and Minerals,Remote Sensing,
Ashley,White,Remote Sensing,Entomology,Bungee Drop,Forensics
John,White,Anatomy and Physiology,Astronomy,Designer Genes,
Jennifer,White,Circuit Lab,Robot Tour,Machines,Electric Vehicle
Christopher,White,Robot Tour,Astronomy,Experimental Design,
Matthew,White,Dynamic Planet,Experimental Design,Disease Detectives,Rocks and Minerals
Mitchell,White,Anatomy and Physiology,Disease Detectives,Designer Genes,
