Name,Team,Events,Score
James,Purple,Dynamic Planet,10
Sarah,Purple,Electric Vehicle,24
Emily,Purple,Bungee Drop,25
Jessica,Purple,Machines,46
Tyler,Purple,Machines,46
Robert,Purple,Dynamic Planet,10
Amanda,Purple,Designer Genes,35
Janet,Purple,Bungee Drop,25
Allen,Purple,Helicopter,14
Alicia,Purple,Anatomy and Physiology,32
Preston,Purple,Helicopter,14
Daniel,Purple,Chemistry Lab,25
Kaylie,White,Forensics,46
Ashley,White,Remote Sensing,46
John,White,Anatomy and Physiology,43
Jennifer,White,Circuit Lab,34
Christopher,White,Robot Tour,46
Matthew,White,Dynamic Planet,46
Mitchell,White,Anatomy and Physiology,43
James,Purple,Materials Science,25
Sarah,Purple,Forensics,41
Michael,Purple,Electric Vehicle,24
Emily,Purple,Codebusters,32
David,Purple,Astronomy,20
Jessica,Purple,Circuit Lab,30
Tyler,Purple,Circuit Lab,30
Robert,Purple,Water Quality,14
Amanda,Purple,Hovercraft,47
Janet,Purple,Remote Sensing,36
Allen,Purple,Entomology,34
Alicia,Purple,Designer Genes,35
Preston,Purple,Engineering CAD,46
Daniel,Purple,Experimental Design,44
Kaylie,White,Rocks and Minerals,23
Ashley,White,Entomology,43
John,White,Astronomy,44
Jennifer,White,Robot Tour,46
Christopher,White,Astronomy,44
Matthew,White,Experimental Design,42
Mitchell,White,Disease Detectives,43
James,Purple,Rocks and Minerals,35
Sarah,Purple,Chemistry Lab,25
Michael,Purple,Anatomy and Physiology,32
Emily,Purple,Remote Sensing,36
David,Purple,Rocks and Minerals,35
Jessica,Purple,Robot Tour,46
Tyler,Purple,Hovercraft,47
Robert,Purple,Codebusters,32
Amanda,Purple,Codebusters,32
Janet,Purple,Entomology,34
Allen,Purple,Engineering CAD,46
Alicia,Purple,Materials Science,25
Daniel,Purple,Forensics,41
Kaylie,White,Remote Sensing,46
Ashley,White,Bungee Drop,46
John,White,Designer Genes,42
Jennifer,White,Machines,46
Christopher,White,Experimental Design,42
Matthew,White,Disease Detectives,43
Mitchell,White,Designer Genes,42
Sarah,Purple,Water Quality,14
Michael,Purple,Disease Detectives,25
David,Purple,Robot Tour,46
Jessica,Purple,Boomilever,21
Tyler,Purple,Boomilever,21
Robert,Purple,Disease Detectives,25
Amanda,Purple,Astronomy,20
Ashley,White,Forensics,46
Jennifer,White,Electric Vehicle,46
Matthew,White,Rocks and Minerals,23
